End X,End Y,End Z,Start X,Start Y,Start Z
1.2645,1.9578,0.0000,1.2829,1.9745,0.0000
1.2748,2.5465,0.0000,1.2289,2.5025,0.0000
1.2758,2.1458,0.0000,1.2513,2.0983,0.0000
1.2829,1.9745,0.0000,1.2966,1.9874,0.0000
1.2841,1.8795,0.0000,1.3008,1.8953,0.0000
1.2958,0.9970,0.0000,1.3302,1.0276,0.0000
1.2966,1.9874,0.0000,1.3186,2.0090,0.0000
1.3008,1.8953,0.0000,1.3174,1.9112,0.0000
1.3042,2.2011,0.0000,1.2758,2.1458,0.0000
1.3174,1.9112,0.0000,1.3339,1.9272,0.0000
1.3186,2.0090,0.0000,1.3360,2.0266,0.0000
1.3207,2.5906,0.0000,1.2748,2.5465,0.0000
1.3302,1.0276,0.0000,1.3644,1.0584,0.0000
1.3326,2.2565,0.0000,1.3042,2.2011,0.0000
1.3339,1.9272,0.0000,1.3565,1.9490,0.0000
1.3360,2.0266,0.0000,1.3535,2.0443,0.0000
1.3535,2.0443,0.0000,1.3746,2.0654,0.0000
1.3565,1.9490,0.0000,1.3669,1.9591,0.0000
1.3610,2.3118,0.0000,1.3326,2.2565,0.0000
1.3644,1.0584,0.0000,1.4055,1.0956,0.0000
1.3666,2.6348,0.0000,1.3207,2.5906,0.0000
1.3669,1.9591,0.0000,1.3834,1.9751,0.0000
1.3746,2.0654,0.0000,1.3889,2.0791,0.0000
1.3834,1.9751,0.0000,1.4000,1.9911,0.0000
1.3889,2.0791,0.0000,1.4070,2.0960,0.0000
1.3895,2.3670,0.0000,1.3610,2.3118,0.0000
1.4000,1.9911,0.0000,1.4165,2.0070,0.0000
1.4055,1.0956,0.0000,1.4326,1.1203,0.0000
1.4070,2.0960,0.0000,1.4253,2.1128,0.0000
1.4124,2.6791,0.0000,1.3666,2.6348,0.0000
1.4165,2.0070,0.0000,1.4331,2.0229,0.0000
1.4182,2.4222,0.0000,1.3895,2.3670,0.0000
1.4253,2.1128,0.0000,1.4437,2.1294,0.0000
1.4326,1.1203,0.0000,1.4666,1.1513,0.0000
1.4331,2.0229,0.0000,1.4497,2.0388,0.0000
1.4437,2.1294,0.0000,1.4621,2.1461,0.0000
1.4473,2.4771,0.0000,1.4182,2.4222,0.0000
1.4497,2.0388,0.0000,1.4664,2.0546,0.0000
1.4582,2.7234,0.0000,1.4124,2.6791,0.0000
1.4621,2.1461,0.0000,1.4861,2.1681,0.0000
1.4664,2.0546,0.0000,1.4831,2.0703,0.0000
1.4666,1.1513,0.0000,1.5008,1.1821,0.0000
1.4767,2.5319,0.0000,1.4473,2.4771,0.0000
1.4831,2.0703,0.0000,1.4980,2.0843,0.0000
1.4861,2.1681,0.0000,1.4986,2.1798,0.0000
1.4936,2.5629,0.0000,1.4767,2.5319,0.0000
1.4980,2.0843,0.0000,1.5168,2.1016,0.0000
1.4986,2.1798,0.0000,1.5166,2.1969,0.0000
1.5008,1.1821,0.0000,1.5355,1.2124,0.0000
1.5040,2.7679,0.0000,1.4582,2.7234,0.0000
1.5166,2.1969,0.0000,1.5345,2.2141,0.0000
1.5168,2.1016,0.0000,1.5338,2.1170,0.0000
1.5338,2.1170,0.0000,1.5509,2.1324,0.0000
1.5345,2.2141,0.0000,1.5526,2.2311,0.0000
1.5355,1.2124,0.0000,1.5773,1.2470,0.0000
1.5365,2.6404,0.0000,1.5544,2.6528,0.0000
1.5368,2.6408,0.0000,1.4936,2.5629,0.0000
1.5409,2.8038,0.0000,1.5040,2.7679,0.0000
1.5509,2.1324,0.0000,1.5682,2.1476,0.0000
1.5526,2.2311,0.0000,1.5708,2.2479,0.0000
1.5544,2.6528,0.0000,1.5723,2.6653,0.0000
1.5669,2.6953,0.0000,1.5368,2.6408,0.0000
1.5682,2.1476,0.0000,1.5856,2.1626,0.0000
1.5708,2.2479,0.0000,1.5926,2.2671,0.0000
1.5723,2.6653,0.0000,1.5897,2.6776,0.0000
1.5773,1.2470,0.0000,1.6073,1.2704,0.0000
1.5856,2.1626,0.0000,1.6062,2.1799,0.0000
1.5897,2.6776,0.0000,1.6077,2.6906,0.0000
1.5926,2.2671,0.0000,1.6084,2.2804,0.0000
1.5961,2.8561,0.0000,1.5409,2.8038,0.0000
1.5964,2.7500,0.0000,1.5669,2.6953,0.0000
1.6062,2.1799,0.0000,1.6209,2.1920,0.0000
1.6073,1.2704,0.0000,1.6445,1.2977,0.0000
1.6077,2.6906,0.0000,1.6253,2.7034,0.0000
1.6084,2.2804,0.0000,1.6277,2.2959,0.0000
1.6209,2.1920,0.0000,1.6388,2.2064,0.0000
1.6250,2.8052,0.0000,1.5964,2.7500,0.0000
1.6253,2.7034,0.0000,1.6430,2.7162,0.0000
1.6277,2.2959,0.0000,1.6475,2.3109,0.0000
1.6300,2.8843,0.0000,1.5961,2.8561,0.0000
1.6388,2.2064,0.0000,1.6570,2.2204,0.0000
1.6398,2.8351,0.0000,1.6250,2.8052,0.0000
1.6430,2.7162,0.0000,1.6607,2.7289,0.0000
1.6445,1.2977,0.0000,1.6828,1.3234,0.0000
1.6475,2.3109,0.0000,1.6676,2.3256,0.0000
1.6570,2.2204,0.0000,1.6754,2.2342,0.0000
1.6607,2.7289,0.0000,1.6785,2.7414,0.0000
1.6676,2.3256,0.0000,1.6880,2.3397,0.0000
1.6754,2.2342,0.0000,1.6941,2.2476,0.0000
1.6782,2.9176,0.0000,1.6398,2.8351,0.0000
1.6785,2.7414,0.0000,1.6965,2.7535,0.0000
1.6828,1.3234,0.0000,1.7222,1.3475,0.0000
1.6880,2.3397,0.0000,1.7087,2.3535,0.0000
1.6941,2.2476,0.0000,1.7164,2.2628,0.0000
1.6965,2.7535,0.0000,1.7168,2.7666,0.0000
1.6991,2.9302,0.0000,1.6300,2.8843,0.0000
1.7087,2.3535,0.0000,1.7297,2.3669,0.0000
1.7164,2.2628,0.0000,1.7324,2.2731,0.0000
1.7168,2.7666,0.0000,1.7334,2.7767,0.0000
1.7222,1.3475,0.0000,1.7762,1.3764,0.0000
1.7297,2.3669,0.0000,1.7515,2.3803,0.0000
1.7324,2.2731,0.0000,1.7519,2.2852,0.0000
1.7334,2.7767,0.0000,1.7522,2.7875,0.0000
1.7515,2.3803,0.0000,1.7723,2.3925,0.0000
1.7519,2.2852,0.0000,1.7718,2.2968,0.0000
1.7522,2.7875,0.0000,1.7713,2.7979,0.0000
1.7604,2.9632,0.0000,1.6991,2.9302,0.0000
1.7713,2.7979,0.0000,1.7907,2.8079,0.0000
1.7718,2.2968,0.0000,1.7919,2.3080,0.0000
1.7723,2.3925,0.0000,1.7940,2.4047,0.0000
1.7762,1.3764,0.0000,1.8041,1.3894,0.0000
1.7907,2.8079,0.0000,1.8102,2.8176,0.0000
1.7919,2.3080,0.0000,1.8123,2.3187,0.0000
1.7940,2.4047,0.0000,1.8159,2.4165,0.0000
1.8041,1.3894,0.0000,1.8467,1.4071,0.0000
1.8102,2.8176,0.0000,1.8299,2.8269,0.0000
1.8123,2.3187,0.0000,1.8329,2.3289,0.0000
1.8124,2.9888,0.0000,1.7604,2.9632,0.0000
1.8159,2.4165,0.0000,1.8380,2.4276,0.0000
1.8299,2.8269,0.0000,1.8498,2.8359,0.0000
1.8329,2.3289,0.0000,1.8537,2.3387,0.0000
1.8380,2.4276,0.0000,1.8642,2.4397,0.0000
1.8467,1.4071,0.0000,1.8901,1.4226,0.0000
1.8498,2.8359,0.0000,1.8598,2.8403,0.0000
1.8537,2.3387,0.0000,1.8712,2.3464,0.0000
1.8598,2.8403,0.0000,1.8899,2.8532,0.0000
1.8642,2.4397,0.0000,1.8833,2.4478,0.0000
1.8712,2.3464,0.0000,1.8960,2.3566,0.0000
1.8809,3.0202,0.0000,1.8124,2.9888,0.0000
1.8833,2.4478,0.0000,1.9064,2.4568,0.0000
1.8899,2.8532,0.0000,1.9101,2.8613,0.0000
1.8901,1.4226,0.0000,1.9122,1.4296,0.0000
1.8960,2.3566,0.0000,1.9175,2.3649,0.0000
1.9064,2.4568,0.0000,1.9298,2.4652,0.0000
1.9101,2.8613,0.0000,1.9305,2.8690,0.0000
1.9122,1.4296,0.0000,1.9790,1.4475,0.0000
1.9175,2.3649,0.0000,1.9391,2.3727,0.0000
1.9298,2.4652,0.0000,1.9534,2.4729,0.0000
1.9305,2.8690,0.0000,1.9510,2.8762,0.0000
1.9391,2.3727,0.0000,1.9608,2.3802,0.0000
1.9460,3.0477,0.0000,1.8809,3.0202,0.0000
1.9510,2.8762,0.0000,1.9717,2.8829,0.0000
1.9534,2.4729,0.0000,1.9773,2.4801,0.0000
1.9608,2.3802,0.0000,1.9827,2.3872,0.0000
1.9717,2.8829,0.0000,1.9899,2.8883,0.0000
1.9773,2.4801,0.0000,2.0013,2.4867,0.0000
1.9790,1.4475,0.0000,2.0243,1.4564,0.0000
1.9827,2.3872,0.0000,2.0050,2.3940,0.0000
1.9881,3.0630,0.0000,1.9460,3.0477,0.0000
1.9899,2.8883,0.0000,2.0137,2.8944,0.0000
2.0013,2.4867,0.0000,2.0254,2.4928,0.0000
2.0050,2.3940,0.0000,2.0268,2.4004,0.0000
2.0137,2.8944,0.0000,2.0349,2.8992,0.0000
2.0243,1.4564,0.0000,2.0735,1.4626,0.0000
2.0254,2.4928,0.0000,2.0497,2.4984,0.0000
2.0268,2.4004,0.0000,2.0490,2.4065,0.0000
2.0349,2.8992,0.0000,2.0563,2.9034,0.0000
2.0490,2.4065,0.0000,2.0714,2.4122,0.0000
2.0492,3.0811,0.0000,1.9881,3.0630,0.0000
2.0497,2.4984,0.0000,2.0697,2.5028,0.0000
2.0563,2.9034,0.0000,2.0778,2.9071,0.0000
2.0697,2.5028,0.0000,2.0984,2.5085,0.0000
2.0714,2.4122,0.0000,2.0938,2.4174,0.0000
2.0735,1.4626,0.0000,2.1158,1.4649,0.0000
2.0778,2.9071,0.0000,2.0994,2.9103,0.0000
2.0918,3.0905,0.0000,2.0492,3.0811,0.0000
2.0938,2.4174,0.0000,2.1163,2.4221,0.0000
2.0984,2.5085,0.0000,2.1229,2.5130,0.0000
2.0994,2.9103,0.0000,2.1210,2.9131,0.0000
2.1158,1.4649,0.0000,2.1619,1.4652,0.0000
2.1163,2.4221,0.0000,2.1389,2.4261,0.0000
2.1210,2.9131,0.0000,2.1534,2.9165,0.0000
2.1229,2.5130,0.0000,2.1474,2.5169,0.0000
2.1389,2.4261,0.0000,2.1656,2.4301,0.0000
2.1474,2.5169,0.0000,2.1719,2.5204,0.0000
2.1534,2.9165,0.0000,2.1644,2.9175,0.0000
2.1619,1.4652,0.0000,2.2277,1.4640,0.0000
2.1644,2.9175,0.0000,2.1861,2.9192,0.0000
2.1656,2.4301,0.0000,2.1844,2.4322,0.0000
2.1719,2.5204,0.0000,2.2022,2.5238,0.0000
2.1746,3.1013,0.0000,2.0918,3.0905,0.0000
2.1835,-0.0002,0.0000,2.1805,3.3973,0.0000
2.1844,2.4322,0.0000,2.2073,2.4343,0.0000
2.1861,2.9192,0.0000,2.2079,2.9206,0.0000
2.2022,2.5238,0.0000,2.2212,2.5255,0.0000
2.2073,2.4343,0.0000,2.2302,2.4358,0.0000
2.2079,2.9206,0.0000,2.2296,2.9218,0.0000
2.2212,2.5255,0.0000,2.2460,2.5273,0.0000
2.2277,1.4640,0.0000,2.2541,1.4635,0.0000
2.2296,2.9218,0.0000,2.2513,2.9226,0.0000
2.2302,2.4358,0.0000,2.2532,2.4368,0.0000
2.2460,2.5273,0.0000,2.2707,2.5285,0.0000
2.2513,2.9226,0.0000,2.2681,2.9231,0.0000
2.2532,2.4368,0.0000,2.2762,2.4375,0.0000
2.2541,1.4635,0.0000,2.3002,1.4631,0.0000
2.2599,3.1059,0.0000,2.1746,3.1013,0.0000
2.2681,2.9231,0.0000,2.2948,2.9236,0.0000
2.2707,2.5285,0.0000,2.2956,2.5294,0.0000
2.2762,2.4375,0.0000,2.2947,2.4379,0.0000
2.2947,2.4379,0.0000,2.3222,2.4382,0.0000
2.2948,2.9236,0.0000,2.3166,2.9237,0.0000
2.2956,2.5294,0.0000,2.3204,2.5299,0.0000
2.3002,1.4631,0.0000,2.3462,1.4631,0.0000
2.3020,3.1072,0.0000,2.2599,3.1059,0.0000
2.3166,2.9237,0.0000,2.3384,2.9237,0.0000
2.3204,2.5299,0.0000,2.3452,2.5301,0.0000
2.3222,2.4382,0.0000,2.3452,2.4384,0.0000
2.3384,2.9237,0.0000,2.3601,2.9235,0.0000
2.3452,2.4384,0.0000,2.3681,2.4384,0.0000
2.3452,2.5301,0.0000,2.3701,2.5302,0.0000
2.3462,1.4631,0.0000,2.4023,1.4633,0.0000
2.3601,2.9235,0.0000,2.3819,2.9233,0.0000
2.3657,3.1083,0.0000,2.3020,3.1072,0.0000
2.3681,2.4384,0.0000,2.3911,2.4383,0.0000
2.3701,2.5302,0.0000,2.3950,2.5301,0.0000
2.3819,2.9233,0.0000,2.4037,2.9231,0.0000
2.3911,2.4383,0.0000,2.4141,2.4382,0.0000
2.3950,2.5301,0.0000,2.4214,2.5300,0.0000
2.4023,1.4633,0.0000,2.4383,1.4635,0.0000
2.4037,2.9231,0.0000,2.4255,2.9228,0.0000
2.4141,2.4382,0.0000,2.4370,2.4381,0.0000
2.4214,2.5300,0.0000,2.4447,2.5299,0.0000
2.4255,2.9228,0.0000,2.4495,2.9226,0.0000
2.4293,3.1088,0.0000,2.3657,3.1083,0.0000
2.4370,2.4381,0.0000,2.4600,2.4380,0.0000
2.4383,1.4635,0.0000,2.4843,1.4637,0.0000
2.4447,2.5299,0.0000,2.4695,2.5299,0.0000
2.4495,2.9226,0.0000,2.4690,2.9226,0.0000
2.4600,2.4380,0.0000,2.4717,2.4379,0.0000
2.4690,2.9226,0.0000,2.4908,2.9225,0.0000
2.4695,2.5299,0.0000,2.4943,2.5298,0.0000
2.4717,2.4379,0.0000,2.5059,2.4378,0.0000
2.4843,1.4637,0.0000,2.5303,1.4640,0.0000
2.4908,2.9225,0.0000,2.5125,2.9226,0.0000
2.4929,3.1087,0.0000,2.4293,3.1088,0.0000
2.4943,2.5298,0.0000,2.5192,2.5298,0.0000
2.5059,2.4378,0.0000,2.5289,2.4378,0.0000
2.5125,2.9226,0.0000,2.5343,2.9227,0.0000
2.5192,2.5298,0.0000,2.5440,2.5298,0.0000
2.5289,2.4378,0.0000,2.5519,2.4378,0.0000
2.5303,1.4640,0.0000,2.5764,1.4643,0.0000
2.5343,2.9227,0.0000,2.5561,2.9229,0.0000
2.5440,2.5298,0.0000,2.5688,2.5297,0.0000
2.5519,2.4378,0.0000,2.5749,2.4378,0.0000
2.5561,2.9229,0.0000,2.5778,2.9231,0.0000
2.5564,3.1083,0.0000,2.4929,3.1087,0.0000
2.5688,2.5297,0.0000,2.5936,2.5297,0.0000
2.5749,2.4378,0.0000,2.5979,2.4378,0.0000
2.5764,1.4643,0.0000,2.6224,1.4647,0.0000
2.5778,2.9231,0.0000,2.5996,2.9233,0.0000
2.5936,2.5297,0.0000,2.6184,2.5298,0.0000
2.5979,2.4378,0.0000,2.6208,2.4379,0.0000
2.5996,2.9233,0.0000,2.6214,2.9236,0.0000
2.6200,3.1076,0.0000,2.5564,3.1083,0.0000
